Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Tinamus major,Omnívoro,0,0,100,0,0,0,0,1060.12
Tinamus guttatus,Frutas/Néctar,0,0,100,0,0,0,0,663.83
Crypturellus cinereus,Frutas/Néctar,0,0,100,0,0,0,0,495.82
Crypturellus soui,Omnívoro,0,0,100,0,0,0,0,210.16
Crypturellus undulatus,Frutas/Néctar,0,0,100,0,0,0,0,462.71
Crypturellus variegatus,Frutas/Néctar,0,0,100,0,0,0,0,335.50
Anhima cornuta,Plantas/Semillas,0,40,60,0,0,0,0,3508.33
Dendrocygna viduata,Plantas/Semillas,80,20,0,0,0,0,0,693.33
Dendrocygna autumnalis,Plantas/Semillas,0,50,50,0,0,0,0,718.40
Cairina moschata,Omnívoro,0,50,50,0,0,0,0,1947.89
Amazonetta brasiliensis,Omnívoro,0,20,80,0,0,0,0,476.16
Spatula discors,Plantas/Semillas,0,100,0,0,0,0,0,375.63
Penelope jacquacu,Frutas/Néctar,0,0,0,0,60,40,0,1327.29
Ortalis guttata,Frutas/Néctar,0,0,0,0,50,50,0,459.69
Crax alector,Frutas/Néctar,0,0,80,20,0,0,0,3183.00
Colinus cristatus,Plantas/Semillas,0,0,100,0,0,0,0,137.74
Odontophorus gujanensis,Omnívoro,0,0,100,0,0,0,0,325.36
Podilymbus podiceps,Invertebrados,100,0,0,0,0,0,0,376.47
Columba livia,Plantas/Semillas,0,0,80,20,0,0,0,330.60
Patagioenas speciosa,Frutas/Néctar,0,0,30,20,30,20,0,254.64
Patagioenas cayennensis,Frutas/Néctar,0,0,20,0,40,40,0,232.82
Patagioenas plumbea,Omnívoro,0,0,0,0,30,70,0,176.34
Patagioenas subvinacea,Frutas/Néctar,0,0,0,0,50,50,0,151.70
Leptotila verreauxi,Plantas/Semillas,0,0,100,0,0,0,0,139.44
Leptotila rufaxilla,Plantas/Semillas,0,0,100,0,0,0,0,149.50
Zenaida auriculata,Plantas/Semillas,0,0,20,20,40,20,0,119.02
Claravis pretiosa,Plantas/Semillas,0,0,100,0,0,0,0,66.07
Columbina minuta,Plantas/Semillas,0,0,100,0,0,0,0,32.96
Columbina talpacoti,Plantas/Semillas,0,0,100,0,0,0,0,45.50
Columbina squammata,Plantas/Semillas,0,0,100,0,0,0,0,50.82
Crotophaga major,Omnívoro,0,0,30,20,20,30,0,148.18
Crotophaga ani,Omnívoro,0,0,40,30,30,0,0,103.00
Tapera naevia,Invertebrados,0,0,50,30,20,0,0,47.70
Dromococcyx phasianellus,Invertebrados,0,0,50,30,20,0,0,84.50
Coccycua minuta,Invertebrados,0,0,0,50,50,0,0,38.01
Piaya cayana,Invertebrados,0,0,0,0,20,80,0,103.54
Coccyzus melacoryphus,Invertebrados,0,0,50,30,20,0,0,44.86
Coccyzus americanus,Invertebrados,0,0,0,0,40,60,0,55.76
Nyctibius grandis,Invertebrados,0,0,0,10,60,10,20,504.00
Nyctibius griseus,Invertebrados,0,0,0,0,90,0,10,188.35
Chordeiles nacunda,Invertebrados,0,0,0,10,10,10,70,152.13
Chordeiles rupestris,Invertebrados,0,0,0,50,40,0,10,58.00
Chordeiles minor,Invertebrados,0,0,0,10,0,0,90,68.65
Lurocalis semitorquatus,Invertebrados,0,0,0,0,70,10,20,75.90
Nyctiprogne leucopyga,Invertebrados,0,10,30,10,40,0,10,24.73
Nyctipolus nigrescens,Invertebrados,0,0,0,20,20,0,60,35.05
Nyctidromus albicollis,Invertebrados,0,0,40,30,20,0,10,52.77
Hydropsalis cayennensis,Invertebrados,0,0,0,50,40,0,10,36.18
Hydropsalis maculicaudus,Invertebrados,0,0,0,40,40,0,20,30.14
Antrostomus rufus,Invertebrados,0,0,0,20,80,0,0,93.10
Streptoprocne zonaris,Invertebrados,0,0,0,0,0,0,100,91.16
Chaetura cinereiventris,Invertebrados,0,0,0,0,0,20,80,13.90
Chaetura brachyura,Invertebrados,0,0,0,0,10,0,90,22.15
Tachornis squamata,Invertebrados,0,0,0,10,40,20,30,10.64
Panyptila cayennensis,Invertebrados,0,0,0,0,10,0,90,21.10
Florisuga mellivora,Frutas/Néctar,0,0,0,10,40,30,20,7.31
Glaucis hirsutus,Frutas/Néctar,0,0,0,100,0,0,0,6.64
Phaethornis atrimentalis,Frutas/Néctar,0,0,0,100,0,0,0,2.68
Phaethornis ruber,Frutas/Néctar,0,0,0,100,0,0,0,2.35
Phaethornis augusti,Frutas/Néctar,0,0,0,90,10,0,0,4.50
Phaethornis hispidus,Frutas/Néctar,0,0,0,100,0,0,0,4.90
Phaethornis bourcieri,Frutas/Néctar,0,0,0,100,0,0,0,4.29
Phaethornis malaris,Frutas/Néctar,0,0,0,100,0,0,0,5.67
Polytmus guainumbi,Frutas/Néctar,0,0,0,100,0,0,0,4.81
Polytmus theresiae,Frutas/Néctar,0,0,0,30,70,0,0,3.76
Anthracothorax nigricollis,Frutas/Néctar,0,0,0,10,30,40,20,7.06
Lophornis chalybeus,Frutas/Néctar,0,0,0,30,60,10,0,3.00
Heliomaster longirostris,Frutas/Néctar,0,0,0,0,30,60,10,6.75
Calliphlox amethystina,Frutas/Néctar,0,0,0,50,40,0,10,2.80
Chlorostilbon mellisugus,Frutas/Néctar,0,0,0,40,50,10,0,2.53
Campylopterus largipennis,Frutas/Néctar,0,0,0,40,60,0,0,6.03
Thalurania furcata,Frutas/Néctar,0,0,10,30,30,30,0,4.23
Chrysuronia versicolor,Frutas/Néctar,0,0,0,30,40,30,0,3.68
Chrysuronia oenone,Frutas/Néctar,0,0,0,50,50,0,0,4.78
Chionomesa fimbriata,Frutas/Néctar,0,0,0,80,20,0,0,4.77
Hylocharis sapphirina,Frutas/Néctar,0,0,0,70,30,0,0,4.70
Chlorestes cyanus,Frutas/Néctar,0,0,10,30,30,30,0,3.38
Chlorestes notata,Frutas/Néctar,0,0,0,70,30,0,0,3.80
Opisthocomus hoazin,Plantas/Semillas,0,0,0,20,80,0,0,726.12
Aramus guarauna,Omnívoro,0,50,50,0,0,0,0,947.40
Porphyrio martinica,Plantas/Semillas,0,20,30,30,20,0,0,219.48
Anurolimnas viridis,Invertebrados,0,0,100,0,0,0,0,65.67
Aramides cajaneus,Omnívoro,0,50,50,0,0,0,0,406.89
Heliornis fulica,Omnívoro,0,70,30,0,0,0,0,121.38
Vanellus cayanus,Invertebrados,0,0,100,0,0,0,0,69.38
Vanellus chilensis,Invertebrados,0,20,80,0,0,0,0,295.14
